time [s];vehicle_speed [km/h];acceleration [m/s^2];slope [°]
0;0;0;0
1;0;0;0
2;0;0;0
3;0;0;0
4;0;0;0
5;0;0;0
6;0;0;0
7;0;0;0
8;0;0;0
9;0;0;0
10;0;0;0
11;0;0,027777778;0
12;0,2;0,430555556;0
13;3,1;0,763888889;0
14;5,7;0,680555556;0
15;8;0,611111111;0
16;10,1;0,555555556;0
17;12;0,513888889;0
18;13,8;0,472222222;0
19;15,4;0,402777778;0
20;16,7;0,319444444;0
21;17,7;0,222222222;0
22;18,3;0,152777778;0
23;18,8;0,083333333;0
24;18,9;-0,055555556;0
25;18,4;-0,277777778;0
26;16,9;-0,569444444;0
27;14,3;-0,847222222;0
28;10,8;-1;0
29;7,1;-0,944444444;0
30;4;-0,986111111;0
31;0;-0,555555556;0
32;0;0;0
33;0;0;0
34;0;0,208333333;0
35;1,5;0,555555556;0
36;4;0,597222222;0
37;5,8;0,486111111;0
38;7,5;0,472222222;0
39;9,2;0,472222222;0
40;10,9;0,444444444;0
41;12,4;0,416666667;0
42;13,9;0,416666667;0
43;15,4;0,375;0
44;16,6;0,291666667;0
45;17,5;0,236111111;0
46;18,3;0,194444444;0
47;18,9;0,166666667;0
48;19,5;0,166666667;0
49;20,1;0,180555556;0
50;20,8;0,208333333;0
51;21,6;0,236111111;0
52;22,5;0,222222222;0
53;23,2;0,194444444;0
54;23,9;0,180555556;0
55;24,5;0,166666667;0
56;25,1;0,125;0
57;25,4;0,013888889;0
58;25,2;-0,166666667;0
59;24,2;-0,402777778;0
60;22,3;-0,597222222;0
61;19,9;-0,694444444;0
62;17,3;-0,722222222;0
63;14,7;-0,722222222;0
64;12,1;-0,722222222;0
65;9,5;-0,763888889;0
66;6,6;-0,75;0
67;4,1;-0,916666667;0
68;0;-0,569444444;0
69;0;0;0
70;0;0;0
71;0;0;0
72;0;0;0
73;0;0;0
74;0;0;0
75;0;0;0
76;0;0;0
77;0;0;0
78;0;0;0
79;0;0;0
80;0;0;0
81;0;0;0
82;0;0;0
83;0;0;0
84;0;0;0
85;0;0;0
86;0;0;0
87;0;0;0
88;0;0;0
89;0;0;0
90;0;0;0
91;0;0;0
92;0;0;0
93;0;0;0
94;0;0;0
95;0;0;0
96;0;0;0
97;0;0;0
98;0;0;0
99;0;0;0
100;0;0;0
101;0;0;0
102;0;0;0
103;0;0;0
104;0;0;0
105;0;0;0
106;0;0;0
107;0;0,097222222;0
108;0,7;0,152777778;0
109;1,1;0,111111111;0
110;1,5;0,194444444;0
111;2,5;0,277777778;0
112;3,5;0,305555556;0
113;4,7;0,361111111;0
114;6,1;0,430555556;0
115;7,8;0,486111111;0
116;9,6;0,5;0
117;11,4;0,486111111;0
118;13,1;0,5;0
119;15;0,486111111;0
120;16,6;0,472222222;0
121;18,4;0,472222222;0
122;20;0,472222222;0
123;21,8;0,472222222;0
124;23,4;0,458333333;0
125;25,1;0,472222222;0
126;26,8;0,472222222;0
127;28,5;0,444444444;0
128;30;0,402777778;0
129;31,4;0,347222222;0
130;32,5;0,25;0
131;33,2;0,125;0
132;33,4;-0,027777778;0
133;33;-0,138888889;0
134;32,4;-0,125;0
135;32,1;-0,069444444;0
136;31,9;-0,027777778;0
137;31,9;0,041666667;0
138;32,2;0,138888889;0
139;32,9;0,208333333;0
140;33,7;0,236111111;0
141;34,6;0,263888889;0
142;35,6;0,277777778;0
143;36,6;0,263888889;0
144;37,5;0,25;0
145;38,4;0,25;0
146;39,3;0,222222222;0
147;40;0,180555556;0
148;40,6;0,152777778;0
149;41,1;0,111111111;0
150;41,4;0,069444444;0
151;41,6;0,055555556;0
152;41,8;0,027777778;0
153;41,8;0,013888889;0
154;41,9;0,013888889;0
155;41,9;0,013888889;0
