time [s];vehicle_speed [km/h];acceleration [m/s^2];slope [°]
0;0;0;0
1;0;0;0
2;0;0;0
3;0;0;0
4;0;0;0
5;0;0;0
6;0;0;0
7;0;0;0
8;0;0;0
9;0;0;0
10;0;0;0
11;0;0;0
12;0;0,166666667;0
13;1,2;0,361111111;0
14;2,6;0,513888889;0
15;4,9;0,652777778;0
16;7,3;0,625;0
17;9,4;0,569444444;0
18;11,4;0,458333333;0
19;12,7;0,263888889;0
20;13,3;0,097222222;0
21;13,4;0;0
22;13,3;-0,041666667;0
23;13,1;-0,111111111;0
24;12,5;-0,277777778;0
25;11,1;-0,5;0
26;8,9;-0,680555556;0
27;6,2;-0,708333333;0
28;3,8;-0,611111111;0
29;1,8;-0,527777778;0
30;0;-0,25;0
31;0;0;0
32;0;0;0
33;0;0,208333333;0
34;1,5;0,388888889;0
35;2,8;0,319444444;0
36;3,8;0,25;0
37;4,6;0,208333333;0
38;5,3;0,208333333;0
39;6,1;0,180555556;0
40;6,6;0,152777778;0
41;7,2;0,180555556;0
42;7,9;0,208333333;0
43;8,7;0,194444444;0
44;9,3;0,180555556;0
45;10;0,194444444;0
46;10,7;0,208333333;0
47;11,5;0,222222222;0
48;12,3;0,25;0
49;13,3;0,263888889;0
50;14,2;0,208333333;0
51;14,8;0,069444444;0
52;14,7;-0,055555556;0
53;14,4;-0,083333333;0
54;14,1;-0,111111111;0
55;13,6;-0,166666667;0
56;12,9;-0,222222222;0
57;12;-0,25;0
58;11,1;-0,208333333;0
59;10,5;-0,111111111;0
60;10,3;0;0
61;10,5;-0,013888889;0
62;10,2;-0,180555556;0
63;9,2;-0,444444444;0
64;7;-0,611111111;0
65;4,8;-0,652777778;0
66;2,3;-0,666666667;0
67;0;-0,319444444;0
68;0;0;0
69;0;0;0
70;0;0;0
71;0;0;0
72;0;0;0
73;0;0;0
74;0;0;0
75;0;0;0
76;0;0;0
77;0;0;0
78;0;0;0
79;0;0;0
80;0;0;0
81;0;0;0
82;0;0;0
83;0;0;0
84;0;0;0
85;0;0;0
86;0;0;0
87;0;0;0
88;0;0;0
89;0;0;0
90;0;0;0
91;0;0;0
92;0;0;0
93;0;0;0
94;0;0;0
95;0;0;0
96;0;0;0
97;0;0;0
98;0;0;0
99;0;0;0
100;0;0;0
101;0;0;0
102;0;0;0
103;0;0;0
104;0;0;0
105;0;0;0
106;0;0,111111111;0
107;0,8;0,194444444;0
108;1,4;0,208333333;0
109;2,3;0,291666667;0
110;3,5;0,333333333;0
111;4,7;0,333333333;0
112;5,9;0,375;0
113;7,4;0,458333333;0
114;9,2;0,597222222;0
115;11,7;0,597222222;0
116;13,5;0,458333333;0
117;15;0,375;0
118;16,2;0,25;0
119;16,8;0,180555556;0
120;17,5;0,277777778;0
121;18,8;0,388888889;0
122;20,3;0,444444444;0
123;22;0,458333333;0
124;23,6;0,388888889;0
125;24,8;0,277777778;0
126;25,6;0,208333333;0
127;26,3;0,222222222;0
128;27,2;0,277777778;0
129;28,3;0,333333333;0
130;29,6;0,361111111;0
131;30,9;0,361111111;0
132;32,2;0,347222222;0
133;33,4;0,402777778;0
134;35,1;0,527777778;0
135;37,2;0,5;0
136;38,7;0,25;0
137;39;-0,180555556;0
138;37,4;-0,708333333;0
139;33,9;-1,069444444;0
140;29,7;-0,986111111;0
141;26,8;-0,5;0
142;26,1;0,055555556;0
143;27,2;0,416666667;0
144;29,1;0,5;0
145;30,8;0,388888889;0
146;31,9;0,166666667;0
147;32;-0,166666667;0
148;30,7;-0,486111111;0
149;28,5;-0,652777778;0
150;26;-0,708333333;0
151;23,4;-0,736111111;0
152;20,7;-0,833333333;0
153;17,4;-0,763888889;0
154;15,2;-0,541666667;0
155;13,5;-0,305555556;0
